product_id,name,description,category
1,Travel Backpack,Durable travel backpack perfect for hiking and outdoor adventures,Travel Gear
2,Compression Bags,Lightweight compression bags for efficient travel packing,Travel Gear
3,Coffee Maker,Electric coffee maker with programmable timer and heating plate,Home & Kitchen
4,Hiking Boots,Waterproof hiking boots for outdoor trails and mountains,Sports & Outdoors
5,Travel Pillow,Comfort travel pillow with cooling gel for long flights,Travel Gear
6,Bluetooth Speaker,Portable Bluetooth speaker with loud sound for outdoor activities,Electronics
7,Tent,Waterproof camping tent for outdoor camping expeditions,Sports & Outdoors
8,Power Bank,High capacity power bank for charging multiple devices,Electronics
9,Water Bottle,Insulated water bottle keeping drinks cold for travel,Travel Gear
10,Laptop Backpack,Professional laptop backpack with multiple compartments,Travel Gear
